latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-8.454,23.277,303.8,1.6,1.3,2016-06-08,0015,A,57,6.0NRT,289.3,14.4,N
-8.463,23.261,343.6,1.6,1.3,2016-06-08,0015,A,100,6.0NRT,290.7,103,N
-8.465,23.275,315.2,1.6,1.3,2016-06-08,0015,A,91,6.0NRT,290.7,29.3,N
-8.474,23.259,320.5,1.6,1.3,2016-06-08,0015,A,100,6.0NRT,287.1,39.3,N
-8.476,23.273,351.2,1.6,1.3,2016-06-08,0015,A,100,6.0NRT,291.8,134,N
-8.478,23.288,314.8,1.6,1.3,2016-06-08,0015,A,90,6.0NRT,290.7,28.8,N
-8.727,24.489,313.6,2,1.4,2016-06-08,0015,A,88,6.0NRT,287.2,41.1,N
-8.68,23.85,308.5,1.8,1.3,2016-06-08,0015,A,75,6.0NRT,287.3,25.6,N
-7.989,18.569,312,1,1,2016-06-08,0015,A,84,6.0NRT,291.4,11.9,N
-7.991,18.578,302.5,1,1,2016-06-08,0015,A,50,6.0NRT,290,5.8,N
-7.755,16.877,310.6,1.1,1,2016-06-08,0015,A,81,6.0NRT,287.7,12.7,N
-7.764,16.876,302.7,1.1,1,2016-06-08,0015,A,51,6.0NRT,287.7,7.1,N
-9.105,26.5,303.4,3,1.6,2016-06-08,0015,A,55,6.0NRT,291.5,25.4,N
-8.645,21.743,303.2,1.3,1.1,2016-06-08,0015,A,54,6.0NRT,288.1,9.3,N
-8.608,21.403,301.8,1.2,1.1,2016-06-08,0015,A,44,6.0NRT,288.9,8.2,N
-8.664,21.728,310,1.3,1.1,2016-06-08,0015,A,79,6.0NRT,289.6,14.5,N
-9.437,27.335,303.2,3.5,1.8,2016-06-08,0015,A,54,6.0NRT,289,35,N
-9.441,27.366,317.8,3.5,1.8,2016-06-08,0015,A,96,6.0NRT,290.8,101.4,N
-9.434,27.359,316.6,3.5,1.8,2016-06-08,0015,A,93,6.0NRT,290.3,95.3,N
-9.45,27.357,300.9,3.5,1.8,2016-06-08,0015,A,35,6.0NRT,289.8,30.2,N
-9.443,26.077,307.1,2.8,1.6,2016-06-08,0015,A,70,6.0NRT,292.7,31.4,N
-9.445,26.07,308.7,2.8,1.6,2016-06-08,0015,A,75,6.0NRT,292.7,36.8,N
-9.064,17.748,301.7,1,1,2016-06-08,0015,A,43,6.0NRT,290,5.3,N
-9.338,17.791,321.2,1,1,2016-06-08,0015,A,100,6.0NRT,291.5,20,N
-9.34,17.8,324.4,1,1,2016-06-08,0015,A,100,6.0NRT,291.3,23.6,N
-9.467,17.607,310.9,1,1,2016-06-08,0015,A,81,6.0NRT,291.9,10.9,N
-9.468,17.616,335.6,1,1,2016-06-08,0015,A,100,6.0NRT,292.8,38.1,N
-9.477,17.609,301,1,1,2016-06-08,0015,A,36,6.0NRT,290.6,5.1,N
-9.901,17.736,303.9,1,1,2016-06-08,0015,A,57,6.0NRT,292.6,5.7,N
-9.648,15.871,302.3,1.2,1.1,2016-06-08,0015,A,48,6.0NRT,288.7,7.8,N
-9.649,15.881,305.6,1.2,1.1,2016-06-08,0015,A,65,6.0NRT,288.9,10.2,N
-9.658,15.869,307.2,1.2,1.1,2016-06-08,0015,A,71,6.0NRT,287.9,11.1,N
-9.659,15.88,315,1.2,1.1,2016-06-08,0015,A,90,6.0NRT,289.4,18.2,N
-10.133,18.499,308,1,1,2016-06-08,0015,A,73,6.0NRT,289.6,8.5,N
-10.134,18.508,320.6,1,1,2016-06-08,0015,A,100,6.0NRT,291,18.9,N
-10.163,18.508,301.1,1,1,2016-06-08,0015,A,38,6.0NRT,289.6,5.4,N
47.102,37.607,315.1,1.3,1.1,2016-06-08,0000,A,91,6.0NRT,282.2,25.8,N
63.928,154.102,307.4,1.1,1,2016-06-08,0105,T,50,6.0NRT,290.6,6.7,D
63.919,154.097,329.5,1.1,1,2016-06-08,0105,T,86,6.0NRT,289.6,29.5,D
63.916,154.118,307.4,1.1,1,2016-06-08,0105,T,55,6.0NRT,290.1,6.5,D
63.882,154.181,319.2,1.1,1,2016-06-08,0105,T,79,6.0NRT,292.4,16.1,D
63.873,154.176,338.3,1.1,1,2016-06-08,0105,T,90,6.0NRT,292.6,39.6,D
63.864,154.17,344.1,1.1,1,2016-06-08,0105,T,94,6.0NRT,291.6,50.8,D
63.862,154.191,333.6,1.1,1,2016-06-08,0105,T,57,6.0NRT,295.4,31.6,D
63.855,154.165,317,1.1,1,2016-06-08,0105,T,77,6.0NRT,288.6,14.8,D
63.853,154.185,321.5,1.1,1,2016-06-08,0105,T,70,6.0NRT,290.7,19,D
63.836,154.242,335.2,1.1,1,2016-06-08,0105,T,68,6.0NRT,290.6,37.4,D
62.555,160.753,352.5,1.1,1,2016-06-08,0105,T,97,6.0NRT,292.4,71.2,D
62.551,160.773,373.2,1.1,1,2016-06-08,0105,T,100,6.0NRT,297.2,140.1,D
62.542,160.765,367.7,1.1,1,2016-06-08,0105,T,100,6.0NRT,296.9,118.8,D
62.524,160.865,324.8,1.1,1,2016-06-08,0105,T,66,6.0NRT,296,19.2,D
62.515,160.857,393.9,1.1,1,2016-06-08,0105,T,100,6.0NRT,302.6,241,D
62.511,160.877,336.6,1.1,1,2016-06-08,0105,T,56,6.0NRT,299.4,33.4,D
62.506,160.85,336.1,1.1,1,2016-06-08,0105,T,39,6.0NRT,296.2,31.5,D
62.497,160.842,389.5,1.1,1,2016-06-08,0105,T,100,6.0NRT,301.9,216.1,D
62.526,160.654,330.2,1.1,1,2016-06-08,0105,T,81,6.0NRT,295.2,29.5,D
62.493,160.833,377.7,1.1,1,2016-06-08,0105,T,100,6.0NRT,300.5,158.6,D
